;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_ACO_title;Return cores to Acoma;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ACO_desc;We hold provinces that Acoma has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AIN_title;Return cores to Ainu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AIN_desc;We hold provinces that Ainu has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALM_title;Return cores to Altamaha;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ALM_desc;We hold provinces that Altamaha has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AND_title;Return cores to Nachans;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AND_desc;We hold provinces that Nachans has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_APA_title;Return cores to Apache;;;;;;;;;;;;;;;;;;;;x,,
return_cores_APA_desc;We hold provinces that Apache has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARG_title;Return cores to Euresa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARG_desc;We hold provinces that Euresa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARK_title;Return cores to Arakan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARK_desc;We hold provinces that Arakan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARW_title;Return cores to Arawak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARW_desc;We hold provinces that Arawak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASH_title;Return cores to Ashanti;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASH_desc;We hold provinces that Ashanti has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASM_title;Return cores to Assam;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASM_desc;We hold provinces that Assam has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ATJ_title;Return cores to Aceh;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ATJ_desc;We hold provinces that Aceh has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUA_title;Return cores to Awngthim;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUA_desc;We hold provinces that Awngthim has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUE_title;Return cores to Eora;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUE_desc;We hold provinces that Eora has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUI_title;Return cores to Kamilaroi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUI_desc;We hold provinces that Kamilaroi has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUK_title;Return cores to Kaurna;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUK_desc;We hold provinces that Kaurna has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUL_title;Return cores to Larrakia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUL_desc;We hold provinces that Larrakia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUO_title;Return cores to Nyoongah;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUO_desc;We hold provinces that Nyoongah has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUP_title;Return cores to Palawa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AUP_desc;We hold provinces that Palawa has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
